transaction_id,timestamp,blockchain,transaction_type,sender_wallet_age_days,receiver_wallet_age_days,transaction_amount_usd,gas_fee_usd,token_type,platform,num_prev_transactions_sender,num_prev_transactions_receiver,avg_txn_interval_sender_min,is_cross_chain,failed_txn_ratio_sender,velocity_score,anomaly_score,is_scam
TX000001,1701692743,BSC,Mint,469,769,929.39,2.76,ERC20,Coinbase,1120,960,100.5,0,0.18,-0.12,0.11,0
TX000002,1704304572,Ethereum,Bridge,1076,1238,139.21,9.36,Stablecoin,Unknown DEX,1203,1011,170.9,1,0.01,0.01,0.1,1
TX000003,1704926484,BSC,Transfer,679,442,395.21,13.44,Native,OpenSea,1160,1054,7.7,1,0.14,0.1,0.12,0
TX000004,1702234489,Solana,Mint,1573,2434,2078.9,1.29,Stablecoin,Coinbase,1179,994,6.1,0,0.07,0.13,0.0,0
TX000005,1701570006,BSC,Swap,522,418,72.47,24.68,Stablecoin,Kraken,1177,968,194.7,0,0.3,0.01,0.2,0
TX000006,1701136074,Polygon,Transfer,130,820,372.58,5.62,Meme,BridgeX,1240,982,306.9,1,0.08,-0.08,0.01,0
TX000007,1704044887,Ethereum,Mint,11,74,106.38,4.29,Stablecoin,OpenSea,1220,1057,352.0,0,0.23,-0.0,0.0,0
TX000008,1701239911,BSC,Bridge,228,3,707.13,4.18,Meme,Unknown DEX,1152,1002,70.2,0,0.11,0.02,0.0,0
TX000009,1704472471,Ethereum,Burn,38,13,793.81,13.91,Meme,Coinbase,1189,932,61.2,0,0.22,-0.05,0.11,0
TX000010,1702138242,BSC,Mint,313,1112,76.16,3.71,Meme,OpenSea,1229,992,60.9,0,0.06,0.02,0.0,0
TX000011,1704523669,Ethereum,Swap,124,38,294.38,3.19,Meme,Binance,1201,1012,96.8,0,0.14,0.07,0.0,0
TX000012,1704981505,Ethereum,Bridge,311,474,58.08,7.82,ERC20,Binance,1166,990,,0,0.07,0.04,0.31,0
TX000013,1701766891,Ethereum,Transfer,305,429,459.62,2.81,Meme,Coinbase,1171,972,74.4,1,0.12,0.0,0.01,0
TX000014,1704521373,Ethereum,Bridge,194,758,749.9,12.22,Meme,BridgeX,1231,1020,195.4,1,0.22,0.08,0.28,0
TX000015,1703344769,BSC,Mint,634,188,1007.92,4.54,ERC20,,1182,1031,126.9,1,0.02,-0.02,0.12,0
TX000016,1700791743,BSC,Swap,340,217,1251.11,3.69,Meme,Coinbase,1188,1002,35.8,0,0.15,0.08,0.15,0
TX000017,1700103355,Ethereum,Bridge,1343,217,750.02,13.9,Meme,Binance,1194,1047,112.1,1,0.19,-0.07,0.0,1
TX000018,1701262752,Polygon,Bridge,47,92,140.36,,ERC20,Binance,1227,999,,0,0.11,-0.0,0.13,0
TX000019,1701396025,BSC,Burn,317,116,674.44,2.63,Meme,Binance,1202,997,31.3,0,0.14,0.01,0.05,0
TX000020,1701307371,BSC,Burn,897,110,830.46,7.58,Stablecoin,Binance,1198,1021,67.3,0,0.06,-0.04,0.17,0
TX000021,1700917040,Polygon,Mint,409,78,654.6,6.88,ERC20,Unknown DEX,1209,1004,151.9,0,0.1,0.05,0.0,0
TX000022,1702253882,Ethereum,Transfer,2030,736,156.26,9.84,Meme,BridgeX,1214,998,319.8,0,0.09,0.01,0.11,0
TX000023,1703530409,Ethereum,Transfer,115,470,812.58,6.46,Stablecoin,Coinbase,1221,1040,53.3,0,0.16,-0.03,0.0,0
TX000024,1704849115,BSC,Swap,227,421,4582.39,11.57,ERC20,Binance,1209,1001,146.1,0,0.12,0.02,0.15,0
TX000025,1704721339,Solana,Mint,74,564,3729.29,8.9,Stablecoin,Binance,1228,990,85.1,0,0.14,0.11,0.18,0
TX000026,1704842447,BSC,Transfer,169,211,1525.73,4.2,Meme,Binance,1223,999,119.7,0,0.23,-0.06,0.0,0
TX000027,1701500942,Polygon,Bridge,669,654,224.63,8.4,Meme,Binance,1207,1051,197.8,0,0.09,0.04,0.0,0
TX000028,1704260029,Polygon,Mint,400,159,132.31,9.77,Meme,Binance,1202,1007,275.5,0,0.13,-0.05,0.11,0
TX000029,1703275709,BSC,Bridge,106,851,182.9,7.03,Stablecoin,BridgeX,1204,956,19.5,0,0.39,0.1,0.27,0
TX000030,1700084654,BSC,Swap,386,477,498.39,7.44,Native,Coinbase,1173,929,197.3,0,0.07,-0.03,0.0,0
TX000031,1701954354,BSC,Mint,1127,862,1217.02,22.71,Native,Binance,1181,986,51.0,0,0.03,0.02,0.03,0
TX000032,1702416182,BSC,Swap,347,28,1038.07,8.45,Stablecoin,Unknown DEX,1147,976,97.8,0,0.17,-0.01,0.0,0
